date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
6/5/20 13:05,PAYMENT RECEIVED,2000,0,468f810e04305005e068a033c1fb5437f62691e853b2095ec2dc4b967ab60384,27658.00844
6/5/20 13:05,PAYMENT RECEIVED,2000,0,3de468a6d344c47a1941291f489d3fe07c0cb9b04c2328cdf56675f4a8ee53d7,25658.00844
6/5/20 13:05,PAYMENT RECEIVED,2000,0,59b3806a605ca9a4c9aa0fddc2ea8c5c6c4a1c92c310df0fad1fe1412c008c0f,23658.00844
6/5/20 13:05,PAYMENT RECEIVED,2000,0,0b756e072d2f297d1064b061257fec9650ca3208f2b078f1ee78dd79ea60aee5,21658.00844
5/5/20 22:11,PAYMENT RECEIVED,0.0006,0,1f556ad64301f2923aa37290049fb28948dd31adf63b3d88cffc51c6877f5cc7,19658.00844
1/5/20 10:06,PAYMENT RECEIVED,193.8428298,0,9e48d3bacf7d914429c91b4e6d713e8b5d2a6e468ccd45148da19e0f6cad785c,19658.00784
1/5/20 10:06,PAYMENT RECEIVED,2000,0,3b946e849fcc2d76cb2ce27251af24257550967e26771374fc6fd2cdbf9c195f,19464.16501
1/5/20 10:06,PAYMENT RECEIVED,2000,0,6cbd2bf0d74c9360b16860410d67e39cfd7197febf26f924c95227f888f8fc56,17464.16501
1/5/20 10:06,PAYMENT RECEIVED,2000,0,ae1c2bf40dcf2f1ef989ee59908fffc14b2c9360770082567ce5bd310bb59025,15464.16501
1/5/20 10:06,PAYMENT RECEIVED,2000,0,27f21e814a579dff9b0ecacc7cb1c9d8aefe2e9debfcb4e700e01bfc22cc35d4,13464.16501
1/5/20 10:06,PAYMENT RECEIVED,2000,0,f6da449f5bde5477dc403f93ad41b15491e6e54a724d3c1cd29a29ec06d7a5f9,11464.16501
29/4/20 19:19,PAYMENT SENT,0,-1945.000345,092eb570e82ff476428873fa45aee34da2d49b9efb1780aaeba4c34341762dfe,9464.165009
29/4/20 19:07,PAYMENT SENT,0,-100.0003277,c6990094d4f90e187b7e7b67e8b09b0448790e34bfd4ed668c6b66f709db824f,11409.16535
25/4/20 15:10,PAYMENT RECEIVED,2000,0,43245f538906a9f366b17e33b868355602a5385778592c126d45770350a446ca,3370.844352
25/4/20 15:10,PAYMENT RECEIVED,2000,0,8f39631d67f972a9291dfb4083cf00ac29b4e161d81a88e9a79d0df20154bf4e,5370.844352
25/4/20 15:10,PAYMENT RECEIVED,2000,0,51a5c47f4151b0b723c8e5443a3d44085b12fa76c213fa71f631136237d8e251,7370.844352
25/4/20 15:10,PAYMENT RECEIVED,2000,0,37761d4681c60b6db48b66d4889676e6aa4312fad3cbf73778c02d7389b755a3,9370.844352
25/4/20 15:10,PAYMENT RECEIVED,138.3213288,0,26e175bfa1d188a5b17f1ca34928b5a0e481b96d9a6f658cd52221571bfc7e8a,9509.165681
